文本,情感
感情这件事，真是激动。,joy
体检的时候，心里眼馋。,envy
因为友情，所以信任。,trust
想到教育，就眼馋。,envy
面对家人，我感到憎恶。,disgust
想到加班，就反感。,disgust
因为作息，所以歉意。,guilt
治疗这件事，真是惊恐。,fear
分手的结果让我失望。,despair
想到体检，就震惊。,surprise
同事的结果让我喜悦。,joy
收入的结果让我畏惧。,fear
因为交往，所以出乎意料。,surprise
想到锻炼，就充满希望。,optimism
老师的时候，心里挂念。,anxiety
康复这件事，真是心碎。,sadness
体检这件事，真是暴怒。,anger
加班的结果让我幸福。,joy
面对加班，我感到哀伤。,sadness
今天教育，感觉守信。,trust
最近工作，让我灰心。,despair
财务让我暴怒。,anger
关于课程，我暴怒。,anger
面对学习，我感到哀伤。,sadness
关于聚会，我吃醋。,envy
今天客户，感觉激动。,joy
关于购物，我气愤。,anger
最近习惯，让我阳光。,optimism
学习这件事，真是等待。,anticipation
最近交往，让我失望。,despair
医生的时候，心里信赖。,trust
关于康复，我妒忌。,envy
今天价格，感觉极其伤心。,sadness
因为休闲，所以恐慌。,fear
面对作息，我感到歉意。,guilt
因为同事，所以暴躁。,anger
会议这件事，真是震惊。,surprise
因为作息，所以惊恐。,fear
朋友的时候，心里诚信。,trust
疾病的结果让我惶恐。,fear
康复的结果让我诚信。,trust
关于感情，我无望。,despair
习惯的时候，心里等待。,anticipation
金钱让我眼红。,envy
感情的时候，心里相信。,trust
想到学生，就托付。,trust
今天同事，感觉真的忧虑。,anxiety
最近邻居，让我托付。,trust
质量的结果让我暴躁。,anger
交往的结果让我信任。,trust
今天琐事，感觉格外负罪感。,guilt
关于身体，我哀伤。,sadness
生活的时候，心里火大。,anger
想到养生，就失落。,sadness
家庭的结果让我红眼。,envy
想到婚姻，就信任。,trust
关于同事，我气愤。,anger
因为休闲，所以胆怯。,fear
面对快递，我感到愤怒。,anger
面对分手，我感到火大。,anger
琐事让我愧疚。,guilt
面对相处，我感到悲观。,despair
面对退款，我感到腻烦。,disgust
因为质量，所以兴奋。,joy
面对休闲，我感到生气。,anger
今天质量，感觉非常红眼。,envy
交往这件事，真是失望。,despair
最近教育，让我小看。,contempt
面对感情，我感到兴奋。,joy
面对康复，我感到爱慕。,love
最近债务，让我惊恐。,fear
面对购物，我感到痴情。,love
休闲这件事，真是忧郁。,sadness
因为恋爱，所以妒火。,envy
今天恋爱，感觉红眼。,envy
学习让我放弃。,despair
音乐这件事，真是宠爱。,love
面对健康，我感到失落。,sadness
想到债务，就气愤。,anger
面对交往，我感到瞧不起。,contempt
今天质量，感觉恼怒。,anger
交往的时候，心里快乐。,joy
项目让我小看。,contempt
面对评价，我感到向前看。,optimism
快递的结果让我充满希望。,optimism
最近服务，让我鄙夷。,contempt
购物让我爱慕。,love
想到邻居，就羡慕。,envy
汇报的时候，心里出乎意料。,surprise
休闲的时候，心里倾心。,love
关于学习，我忧郁。,sadness
面对美食，我感到惊恐。,fear
锻炼的时候，心里眼馋。,envy
想到晋升，就讨厌。,disgust
最近理财，让我紧张。,fear
作业这件事，真是恼火。,anger
教育这件事，真是阳光。,optimism
家庭的结果让我后悔。,guilt
培训的时候，心里后悔。,guilt
快递让我鄙视。,contempt
面对成绩，我感到不屑。,contempt
想到健康，就胆怯。,fear
作业的结果让我向前看。,optimism
面对消费，我感到震惊。,surprise
因为婚姻，所以盼望。,anticipation
想到教育，就暴怒。,anger
面对购物，我感到心死。,despair
朋友的时候，心里信赖。,trust
亲情这件事，真是绝望。,sadness
最近老师，让我愉快。,joy
最近服务，让我厌恶。,disgust
想到财务，就惊喜。,surprise
健康这件事，真是激动。,joy
工作这件事，真是吃醋。,envy
评价的结果让我信任。,trust
因为教育，所以绝望。,despair
因为分手，所以愧疚。,guilt
想到考试，就失望。,despair
关于薪资，我疼爱。,love
因为琐事，所以害怕。,fear
最近储蓄，让我灰心。,despair
相处的结果让我震惊。,surprise
康复这件事，真是愕然。,surprise
购物让我鄙夷。,contempt
因为经济，所以抱歉。,guilt
商品的结果让我攀比。,envy
想到课程，就内疚。,guilt
今天评价，感觉特别充满希望。,optimism
最近晋升，让我豁达。,optimism
关于音乐，我倾心。,love
旅游这件事，真是挂念。,anxiety
学生这件事，真是诧异。,surprise
最近评价，让我忐忑。,anxiety
今天复合，感觉相当愤怒。,anger
体检的时候，心里负罪感。,guilt
客户这件事，真是向上。,optimism
最近朋友，让我恐惧。,fear
财务让我绝望。,sadness
想到财务，就爱慕。,love
面对质量，我感到发怒。,anger
客户这件事，真是歉意。,guilt
最近友情，让我担心。,anxiety
因为疾病，所以挂念。,anxiety
想到支出，就惊恐。,fear
想到收入，就沮丧。,sadness
加班的结果让我惭愧。,guilt
婚姻让我愧疚。,guilt
关于客户，我无望。,despair
面对作业，我感到震惊。,surprise
关于音乐，我心死。,despair
婚姻的时候，心里惊恐。,fear
想到教育，就不屑。,contempt
老板的时候，心里开朗。,optimism
因为支出，所以作呕。,disgust
因为财务，所以等待。,anticipation
养生的结果让我惊喜。,surprise
面对康复，我感到妒火。,envy
想到运动，就出乎意料。,surprise
想到运动，就挂念。,anxiety
运动的结果让我积极。,optimism
面对休闲，我感到兴奋。,joy
面对旅游，我感到忧郁。,sadness
面对娱乐，我感到沮丧。,sadness
想到游戏，就宠爱。,love
运动的时候，心里预料。,anticipation
社区的结果让我暴怒。,anger
价格这件事，真是羡慕。,envy
最近购物，让我愤怒。,anger
培训这件事，真是疼爱。,love
音乐的时候，心里乐观。,optimism
关于商品，我惊喜。,surprise
最近作业，让我歉意。,guilt
今天收入，感觉相当开心。,joy
最近作息，让我反感。,disgust
因为社区，所以愧疚。,guilt
项目让我可靠。,trust
美食让我惊喜。,surprise
兴趣的时候，心里开心。,joy
分手的时候，心里忌妒。,envy
治疗让我厌烦。,disgust
面对快递，我感到灰心。,despair
今天教育，感觉格外羡慕。,envy
今天娱乐，感觉羡慕。,envy
面对会议，我感到藐视。,contempt
因为家人，所以厌烦。,disgust
因为体检，所以鄙夷。,contempt
因为养生，所以厌恶。,disgust
想到旅游，就厌恶。,disgust
培训的时候，心里展望。,anticipation
薪资这件事，真是轻蔑。,contempt
想到养生，就忌妒。,envy
消费这件事，真是吃惊。,surprise
想到美食，就恶心。,disgust
今天娱乐，感觉非常内疚。,guilt
因为健康，所以热爱。,love
工作这件事，真是不屑。,contempt
面对经济，我感到失落。,sadness
会议的时候，心里期盼。,anticipation
因为课程，所以轻蔑。,contempt
养生让我害怕。,fear
想到锻炼，就轻蔑。,contempt
最近培训，让我懊悔。,guilt
关于消费，我失望。,despair
关于电影，我愤慨。,anger
今天快递，感觉尤其恐惧。,fear
美食让我托付。,trust
关于晋升，我不安。,fear
今天治疗，感觉真的绝望。,sadness
关于金钱，我灰心。,despair
因为恋爱，所以歉意。,guilt
面对储蓄，我感到期待。,anticipation
因为社区，所以悲伤。,sadness
面对退款，我感到作呕。,disgust
客户这件事，真是不安。,anxiety
最近健康，让我反感。,disgust
想到社区，就憎恶。,disgust
想到养生，就崩溃。,despair
作息的结果让我热爱。,love
电影这件事，真是阳光。,optimism
最近矛盾，让我吃惊。,surprise
关于债务，我灰心。,despair
关于晋升，我哀伤。,sadness
面对运动，我感到吃惊。,surprise
医院的结果让我意外。,surprise
想到交往，就托付。,trust
娱乐让我悲伤。,sadness
老师让我蔑视。,contempt
售后的时候，心里心碎。,sadness
作息的结果让我藐视。,contempt
最近退款，让我崩溃。,despair
理财让我妒火。,envy
最近聚会，让我嫌弃。,disgust
想到身体，就挂念。,anxiety
因为康复，所以恶心。,disgust
想到金钱，就快乐。,joy
最近医院，让我愤慨。,anger
关于薪资，我期盼。,anticipation
今天友情，感觉盼望。,anticipation
面对商品，我感到气愤。,anger
想到医院，就依赖。,trust
今天会议，感觉十分倾心。,love
家庭的时候，心里畏惧。,fear
关于聚会，我惶恐。,fear
最近薪资，让我忌妒。,envy
想到培训，就后悔。,guilt
收入的时候，心里恶心。,disgust
面对生活，我感到忠诚。,trust
面对财务，我感到小看。,contempt
经济让我悲观。,despair
今天消费，感觉十分泄气。,despair
习惯这件事，真是出乎意料。,surprise
想到作业，就可靠。,trust
最近技能，让我暴怒。,anger
作业让我忠诚。,trust
面对娱乐，我感到挂念。,anxiety
想到课程，就难过。,sadness
晋升的结果让我心慌。,anxiety
友情让我充满希望。,optimism
复合的结果让我疼爱。,love
复合的结果让我眼馋。,envy
最近商品，让我愕然。,surprise
作业这件事，真是发怒。,anger
想到健康，就小看。,contempt
养生让我向上。,optimism
想到兴趣，就心死。,despair
身体的结果让我羡慕。,envy
退款让我爱慕。,love
课程这件事，真是伤心。,sadness
邻居让我预见。,anticipation
因为兴趣，所以惊奇。,surprise
面对工作，我感到依赖。,trust
培训的时候，心里惊喜。,surprise
家庭这件事，真是灰心。,despair
想到老师，就信任。,trust
最近成绩，让我后悔。,guilt
面对服务，我感到痛苦。,sadness
休闲让我失落。,despair
面对同事，我感到小看。,contempt
因为友情，所以开心。,joy
作业让我充满希望。,optimism
面对技能，我感到厌恶。,disgust
因为晋升，所以可靠。,trust
储蓄这件事，真是痛苦。,sadness
因为社区，所以烦躁。,anxiety
同事的时候，心里托付。,trust
最近财务，让我嫌弃。,disgust
想到财务，就吃醋。,envy
最近社区，让我歉意。,guilt
社区这件事，真是难过。,sadness
娱乐让我鄙夷。,contempt
想到娱乐，就忠诚。,trust
收入这件事，真是乐观。,optimism
因为薪资，所以憧憬。,anticipation
电影的结果让我藐视。,contempt
因为项目，所以红眼。,envy
今天客户，感觉恐慌。,fear
矛盾这件事，真是妒忌。,envy
财务让我意想不到。,surprise
想到服务，就热爱。,love
健康让我期望。,anticipation
面对恋爱，我感到等待。,anticipation
想到友情，就绝望。,despair
关于加班，我烦躁。,anxiety
面对邻居，我感到绝望。,despair
今天养生，感觉相当过意不去。,guilt
想到生活，就疼爱。,love
医院的时候，心里积极。,optimism
最近婚姻，让我心惊。,fear
今天培训，感觉有点痛苦。,sadness
身体让我鄙视。,contempt
晋升的结果让我吃惊。,surprise
最近客户，让我诧异。,surprise
想到朋友，就倾心。,love
因为快递，所以愧疚。,guilt
退款让我担心。,anxiety
关于同事，我惊喜。,surprise
因为亲情，所以忐忑。,anxiety
想到电影，就充满希望。,optimism
想到生活，就愕然。,surprise
面对作业，我感到负罪感。,guilt
疾病让我痴情。,love
面对质量，我感到愤慨。,anger
今天会议，感觉相当意外。,surprise
收入让我蔑视。,contempt
关于健康，我烦躁。,anxiety
今天项目，感觉热爱。,love
相处让我胆怯。,fear
最近老板，让我热爱。,love
因为美食，所以忧虑。,anxiety
想到分手，就厌恶。,disgust
